Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Senegal,Vegetables,Online,H,2021-06-18,643721425,2021-08-06,329,154.06,90.93,50685.74,29915.97,20769.77
Asia,Indonesia,Baby Food,Online,H,2017-09-20,515435874,2017-10-14,7784,255.28,159.42,1987099.52,1240925.28,746174.24
Europe,Sweden,Cereal,Offline,H,2021-12-20,857763421,2021-12-26,113,205.7,117.11,23244.1,13233.43,10010.67
Sub-Saharan Africa,Rwanda,Household,Offline,H,2020-05-31,205127894,2020-06-14,757,668.27,502.54,505880.39,380422.78,125457.61
Europe,Ukraine,Clothes,Offline,C,2022-02-21,312265622,2022-03-24,5192,109.28,35.84,567381.76,186081.28,381300.48
Europe,Iceland,Office Supplies,Offline,H,2021-09-16,304225432,2021-10-13,5921,651.21,524.96,3855814.41,3108288.16,747526.25
Middle East and North Africa,Iran,Office Supplies,Offline,C,2015-03-05,726368653,2015-04-10,7481,651.21,524.96,4871702.01,3927225.76,944476.25
Asia,South Korea,Personal Care,Online,C,2016-02-19,394369113,2016-03-21,1439,81.73,56.67,117609.47,81548.13,36061.34
Asia,Kazakhstan,Personal Care,Online,C,2018-04-25,444213140,2018-06-12,1394,81.73,56.67,113931.62,78997.98,34933.64
Central America and the Caribbean,Barbados,Cosmetics,Online,H,2022-04-12,282199561,2022-04-22,7976,437.2,263.33,3487107.2,2100320.08,1386787.12
Australia and Oceania,Australia,Clothes,Offline,L,2019-05-29,734939706,2019-06-02,3846,109.28,35.84,420290.88,137840.64,282450.24
Sub-Saharan Africa,Mozambique,Beverages,Online,L,2018-08-17,899357402,2018-08-25,8696,47.45,31.79,412625.2,276445.84,136179.36
Sub-Saharan Africa,Senegal,Baby Food,Online,H,2019-09-01,392688977,2019-09-09,4250,255.28,159.42,1084940.0,677535.0,407405.0
Asia,Bhutan,Office Supplies,Offline,C,2018-06-03,702483260,2018-07-05,9262,651.21,524.96,6031507.02,4862179.52,1169327.5
Middle East and North Africa,Afghanistan,Fruits,Offline,C,2022-12-22,236601579,2023-01-12,4520,9.33,6.92,42171.6,31278.4,10893.2
North America,Mexico,Snacks,Offline,M,2016-03-10,173217761,2016-03-12,7840,152.58,97.44,1196227.2,763929.6,432297.6
Europe,France,Cosmetics,Offline,C,2014-07-04,410818135,2014-07-23,9070,437.2,263.33,3965404.0,2388403.1,1577000.9
Asia,Sri Lanka,Vegetables,Online,C,2019-10-30,918201529,2019-10-31,5092,154.06,90.93,784473.52,463015.56,321457.96
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,2014-03-07,384479272,2014-04-18,4815,437.2,263.33,2105118.0,1267933.95,837184.05
Central America and the Caribbean,Nicaragua,Personal Care,Online,H,2018-07-08,269075191,2018-07-31,4183,81.73,56.67,341876.59,237050.61,104825.98
Australia and Oceania,Fiji,Office Supplies,Offline,L,2023-03-20,751725614,2023-04-28,1169,651.21,524.96,761264.49,613678.24,147586.25
Europe,Andorra,Fruits,Online,M,2014-10-22,282479369,2014-11-15,778,9.33,6.92,7258.74,5383.76,1874.98
Sub-Saharan Africa,Benin,Clothes,Online,H,2024-02-08,531697785,2024-03-04,45,109.28,35.84,4917.6,1612.8,3304.8
Europe,Serbia,Meat,Offline,L,2024-08-10,540054690,2024-09-05,3039,421.89,364.69,1282123.71,1108292.91,173830.8
Asia,Brunei,Snacks,Offline,C,2023-05-29,768536412,2023-06-23,5858,152.58,97.44,893813.64,570803.52,323010.12
Australia and Oceania,Australia,Vegetables,Offline,H,2023-09-27,848441779,2023-10-06,1632,154.06,90.93,251425.92,148397.76,103028.16
Sub-Saharan Africa,Guinea,Cereal,Offline,H,2019-08-29,931382119,2019-09-27,5521,205.7,117.11,1135669.7,646564.31,489105.39
Europe,Ukraine,Personal Care,Online,H,2022-10-07,339281260,2022-10-27,9719,81.73,56.67,794333.87,550775.73,243558.14
Australia and Oceania,Tuvalu,Clothes,Online,M,2014-01-28,714375531,2014-03-05,8450,109.28,35.84,923416.0,302848.0,620568.0
Europe,Montenegro,Clothes,Online,C,2024-03-27,169213759,2024-04-11,2967,109.28,35.84,324233.76,106337.28,217896.48
Australia and Oceania,Solomon Islands,Personal Care,Offline,C,2021-03-26,936657273,2021-04-06,6557,81.73,56.67,535903.61,371585.19,164318.42
Asia,Thailand,Cosmetics,Online,C,2022-09-05,819879901,2022-09-19,9537,437.2,263.33,4169576.4,2511378.21,1658198.19
Europe,Armenia,Vegetables,Online,M,2015-08-11,842367970,2015-09-09,4257,154.06,90.93,655833.42,387089.01,268744.41
Middle East and North Africa,Tunisia ,Snacks,Online,L,2015-04-18,297920310,2015-06-06,95,152.58,97.44,14495.1,9256.8,5238.3
Sub-Saharan Africa,Chad,Vegetables,Offline,L,2017-02-16,800648248,2017-03-17,8464,154.06,90.93,1303963.84,769631.52,534332.32
Sub-Saharan Africa,Djibouti,Meat,Offline,M,2023-05-07,434975612,2023-05-21,7804,421.89,364.69,3292429.56,2846040.76,446388.8
Europe,Austria,Clothes,Offline,C,2016-04-22,505638730,2016-05-03,8591,109.28,35.84,938824.48,307901.44,630923.04
Sub-Saharan Africa,Ethiopia,Clothes,Online,L,2017-04-20,587686431,2017-05-07,8329,109.28,35.84,910193.12,298511.36,611681.76
Europe,France,Personal Care,Online,H,2017-01-13,776480042,2017-02-23,6555,81.73,56.67,535740.15,371471.85,164268.3
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,H,2023-10-08,337693393,2023-11-06,9834,109.28,35.84,1074659.52,352450.56,722208.96
Europe,Macedonia,Office Supplies,Online,C,2015-03-05,857312810,2015-04-17,6767,651.21,524.96,4406738.07,3552404.32,854333.75
Europe,Finland,Household,Online,M,2018-07-23,391637122,2018-08-22,2982,668.27,502.54,1992781.14,1498574.28,494206.86
Europe,Bulgaria,Personal Care,Online,C,2019-12-15,217277657,2019-12-19,6142,81.73,56.67,501985.66,348067.14,153918.52
Europe,United Kingdom,Cosmetics,Offline,H,2022-12-08,781158244,2022-12-24,938,437.2,263.33,410093.6,247003.54,163090.06
Asia,Malaysia,Vegetables,Online,H,2021-11-22,350515210,2021-12-20,4095,154.06,90.93,630875.7,372358.35,258517.35
Europe,Netherlands,Snacks,Offline,L,2018-01-23,862897384,2018-03-08,9366,152.58,97.44,1429064.28,912623.04,516441.24
Asia,Bhutan,Meat,Offline,L,2014-03-09,276166093,2014-04-06,2539,421.89,364.69,1071178.71,925947.91,145230.8
Europe,Vatican City,Baby Food,Online,H,2019-11-08,218495166,2019-12-11,6430,255.28,159.42,1641450.4,1025070.6,616379.8
Sub-Saharan Africa,Angola,Clothes,Offline,H,2014-01-29,138370931,2014-02-26,5888,109.28,35.84,643440.64,211025.92,432414.72
Europe,Poland,Personal Care,Offline,C,2014-10-24,454592216,2014-11-09,2793,81.73,56.67,228271.89,158279.31,69992.58
Sub-Saharan Africa,Nigeria,Personal Care,Offline,M,2020-02-12,306270349,2020-03-01,1057,81.73,56.67,86388.61,59900.19,26488.42
Middle East and North Africa,Afghanistan,Vegetables,Online,M,2024-03-17,702829158,2024-04-25,1621,154.06,90.93,249731.26,147397.53,102333.73
Central America and the Caribbean,Dominican Republic,Baby Food,Offline,L,2022-10-23,474004971,2022-12-11,7459,255.28,159.42,1904133.52,1189113.78,715019.74
Sub-Saharan Africa,Kenya,Beverages,Offline,H,2018-07-02,319846618,2018-07-08,8577,47.45,31.79,406978.65,272662.83,134315.82
Middle East and North Africa,Oman,Baby Food,Online,H,2015-05-10,560715425,2015-06-13,7009,255.28,159.42,1789257.52,1117374.78,671882.74
Sub-Saharan Africa,Lesotho,Meat,Offline,C,2024-04-21,687285220,2024-05-31,1824,421.89,364.69,769527.36,665194.56,104332.8
Middle East and North Africa,Yemen,Fruits,Online,C,2015-01-01,710542333,2015-02-19,4121,9.33,6.92,38448.93,28517.32,9931.61
Sub-Saharan Africa,Niger,Fruits,Online,C,2017-06-06,711785590,2017-06-27,2028,9.33,6.92,18921.24,14033.76,4887.48
North America,Mexico,Cereal,Offline,H,2020-04-15,392626321,2020-05-17,5708,205.7,117.11,1174135.6,668463.88,505671.72
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,L,2019-02-20,424988353,2019-04-06,2353,109.28,35.84,257135.84,84331.52,172804.32
Asia,Nepal,Household,Online,L,2021-09-25,201108014,2021-10-30,1185,668.27,502.54,791899.95,595509.9,196390.05
Asia,Brunei,Household,Online,C,2021-04-16,983534133,2021-05-04,8461,668.27,502.54,5654232.47,4251990.94,1402241.53
Middle East and North Africa,Pakistan,Baby Food,Offline,H,2023-03-22,955128037,2023-04-12,2466,255.28,159.42,629520.48,393129.72,236390.76
Sub-Saharan Africa,Ethiopia,Fruits,Offline,M,2018-05-28,169063556,2018-06-07,8518,9.33,6.92,79472.94,58944.56,20528.38
Europe,Serbia,Personal Care,Offline,C,2020-08-12,998827016,2020-08-28,3965,81.73,56.67,324059.45,224696.55,99362.9
Sub-Saharan Africa,Cote d'Ivoire,Office Supplies,Offline,H,2018-05-21,488217246,2018-05-26,3187,651.21,524.96,2075406.27,1673047.52,402358.75
Sub-Saharan Africa,Benin,Beverages,Online,M,2023-02-23,701345574,2023-03-03,2596,47.45,31.79,123180.2,82526.84,40653.36
Sub-Saharan Africa,South Sudan,Cosmetics,Online,C,2021-02-05,172635829,2021-03-23,5633,437.2,263.33,2462747.6,1483337.89,979409.71
Sub-Saharan Africa,Niger,Cereal,Offline,H,2021-05-02,656824338,2021-06-21,7773,205.7,117.11,1598906.1,910296.03,688610.07
Europe,Ireland,Snacks,Offline,L,2018-05-29,378959929,2018-07-09,1519,152.58,97.44,231769.02,148011.36,83757.66
Europe,Andorra,Cereal,Offline,C,2019-01-24,784403932,2019-01-26,1409,205.7,117.11,289831.3,165007.99,124823.31
Sub-Saharan Africa,Angola,Clothes,Offline,M,2015-07-11,688830173,2015-07-19,9010,109.28,35.84,984612.8,322918.4,661694.4
Central America and the Caribbean,The Bahamas,Meat,Offline,C,2022-11-23,328224980,2023-01-06,7920,421.89,364.69,3341368.8,2888344.8,453024.0
Europe,Italy,Baby Food,Offline,L,2020-05-08,908887183,2020-06-09,8770,255.28,159.42,2238805.6,1398113.4,840692.2
Europe,Romania,Household,Offline,L,2020-08-31,557428109,2020-09-11,4220,668.27,502.54,2820099.4,2120718.8,699380.6
Europe,Slovakia,Fruits,Offline,M,2022-01-25,170771586,2022-01-31,3962,9.33,6.92,36965.46,27417.04,9548.42
Asia,South Korea,Beverages,Offline,M,2024-04-15,266153943,2024-04-20,9721,47.45,31.79,461261.45,309030.59,152230.86
Middle East and North Africa,Afghanistan,Cosmetics,Offline,C,2023-03-22,531124007,2023-04-29,251,437.2,263.33,109737.2,66095.83,43641.37
Central America and the Caribbean,Panama,Baby Food,Online,L,2016-04-03,273543107,2016-05-15,6339,255.28,159.42,1618219.92,1010563.38,607656.54
Sub-Saharan Africa,Kenya,Beverages,Offline,C,2018-05-03,671585071,2018-06-18,5801,47.45,31.79,275257.45,184413.79,90843.66
Sub-Saharan Africa,Eritrea,Household,Online,C,2024-07-07,723736226,2024-08-20,8487,668.27,502.54,5671607.49,4265056.98,1406550.51
Asia,Laos,Personal Care,Online,L,2015-04-25,398795402,2015-05-09,1276,81.73,56.67,104287.48,72310.92,31976.56
Middle East and North Africa,Israel,Fruits,Offline,C,2015-07-11,185873925,2015-07-12,3080,9.33,6.92,28736.4,21313.6,7422.8
Australia and Oceania,Fiji,Snacks,Online,L,2014-01-09,644395625,2014-02-15,9840,152.58,97.44,1501387.2,958809.6,542577.6
Asia,Cambodia,Baby Food,Offline,H,2022-07-29,154096829,2022-08-13,9531,255.28,159.42,2433073.68,1519432.02,913641.66
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,C,2017-01-06,765026366,2017-01-26,7157,651.21,524.96,4660709.97,3757138.72,903571.25
North America,Canada,Household,Online,M,2017-06-20,547545564,2017-08-08,9755,668.27,502.54,6518973.85,4902277.7,1616696.15
Europe,Georgia,Office Supplies,Offline,C,2018-10-26,342328250,2018-12-01,1391,651.21,524.96,905833.11,730219.36,175613.75
Europe,Austria,Baby Food,Online,H,2017-06-17,610360753,2017-07-15,8165,255.28,159.42,2084361.2,1301664.3,782696.9
Asia,Bhutan,Beverages,Offline,M,2016-08-19,982941901,2016-09-02,3207,47.45,31.79,152172.15,101950.53,50221.62
Asia,Maldives,Office Supplies,Online,M,2021-02-01,711683022,2021-03-15,1676,651.21,524.96,1091427.96,879832.96,211595.0
Europe,Norway,Clothes,Offline,L,2021-01-10,918507945,2021-01-10,5767,109.28,35.84,630217.76,206689.28,423528.48
Australia and Oceania,New Zealand,Baby Food,Online,H,2018-11-12,545652997,2018-12-23,9702,255.28,159.42,2476726.56,1546692.84,930033.72
Sub-Saharan Africa,Rwanda,Vegetables,Offline,L,2023-11-09,405667006,2023-11-11,4737,154.06,90.93,729782.22,430735.41,299046.81
Middle East and North Africa,Qatar,Household,Offline,C,2014-09-06,931411302,2014-10-14,4157,668.27,502.54,2777998.39,2089058.78,688939.61
Central America and the Caribbean,Nicaragua,Baby Food,Offline,C,2019-08-25,826059710,2019-10-04,8280,255.28,159.42,2113718.4,1319997.6,793720.8
Europe,Netherlands,Cosmetics,Offline,C,2015-02-03,213098561,2015-02-13,9455,437.2,263.33,4133726.0,2489785.15,1643940.85
Europe,Russia,Snacks,Online,M,2016-04-17,186326682,2016-05-31,7061,152.58,97.44,1077367.38,688023.84,389343.54
Europe,Latvia,Clothes,Offline,L,2018-08-21,559855401,2018-10-06,2509,109.28,35.84,274183.52,89922.56,184260.96
Europe,Belgium,Personal Care,Online,C,2024-05-14,318108546,2024-05-24,4243,81.73,56.67,346780.39,240450.81,106329.58
Asia,Vietnam,Household,Offline,L,2015-11-01,765822446,2015-12-16,2735,668.27,502.54,1827718.45,1374446.9,453271.55
Europe,Armenia,Household,Offline,L,2014-05-01,578045928,2014-06-16,5490,668.27,502.54,3668802.3,2758944.6,909857.7
Australia and Oceania,Solomon Islands,Snacks,Online,C,2021-04-05,750140321,2021-04-27,2046,152.58,97.44,312178.68,199362.24,112816.44
Sub-Saharan Africa,Seychelles ,Meat,Offline,M,2023-06-29,547779452,2023-07-19,8968,421.89,364.69,3783509.52,3270539.92,512969.6
Europe,Portugal,Snacks,Offline,M,2020-02-02,656949651,2020-02-04,4855,152.58,97.44,740775.9,473071.2,267704.7
Sub-Saharan Africa,Central African Republic,Cereal,Offline,L,2016-12-19,933949744,2017-01-04,5339,205.7,117.11,1098232.3,625250.29,472982.01
Europe,Italy,Cosmetics,Online,L,2021-07-19,855391061,2021-08-13,8078,437.2,263.33,3531701.6,2127179.74,1404521.86
Sub-Saharan Africa,Cote d'Ivoire,Cosmetics,Offline,M,2016-01-08,868197429,2016-02-05,7767,437.2,263.33,3395732.4,2045284.11,1350448.29
Sub-Saharan Africa,Mali,Snacks,Offline,H,2016-02-27,139605176,2016-04-07,1129,152.58,97.44,172262.82,110009.76,62253.06
Asia,Taiwan,Fruits,Offline,H,2023-03-14,607163131,2023-03-27,1918,9.33,6.92,17894.94,13272.56,4622.38
Asia,China,Beverages,Offline,C,2018-06-30,228732621,2018-07-12,5920,47.45,31.79,280904.0,188196.8,92707.2
Europe,Belarus,Personal Care,Online,H,2022-05-03,632487475,2022-06-13,5954,81.73,56.67,486620.42,337413.18,149207.24
Central America and the Caribbean,Dominica,Beverages,Offline,C,2024-06-04,366914021,2024-06-20,6867,47.45,31.79,325839.15,218301.93,107537.22
Australia and Oceania,Marshall Islands,Vegetables,Offline,M,2021-04-29,750811088,2021-06-12,540,154.06,90.93,83192.4,49102.2,34090.2
Europe,Belgium,Fruits,Offline,L,2021-10-17,923290002,2021-11-28,884,9.33,6.92,8247.72,6117.28,2130.44
Australia and Oceania,Solomon Islands,Cosmetics,Offline,L,2020-01-18,993774592,2020-02-03,8841,437.2,263.33,3865285.2,2328100.53,1537184.67
Middle East and North Africa,Libya,Fruits,Online,C,2022-07-04,692001187,2022-08-12,7384,9.33,6.92,68892.72,51097.28,17795.44
Central America and the Caribbean,Dominica,Household,Online,M,2021-01-17,718018615,2021-02-02,6519,668.27,502.54,4356452.13,3276058.26,1080393.87
Central America and the Caribbean,Haiti,Personal Care,Offline,H,2019-10-01,492188203,2019-10-22,8282,81.73,56.67,676887.86,469340.94,207546.92
Middle East and North Africa,Israel,Cereal,Online,C,2018-11-06,405183780,2018-11-19,1739,205.7,117.11,357712.3,203654.29,154058.01
Asia,Malaysia,Baby Food,Online,L,2020-02-01,467991673,2020-02-16,7991,255.28,159.42,2039942.48,1273925.22,766017.26
Europe,Norway,Office Supplies,Offline,C,2021-05-09,761910712,2021-06-17,5166,651.21,524.96,3364150.86,2711943.36,652207.5
Europe,Ireland,Baby Food,Online,H,2022-01-19,988552224,2022-01-28,3426,255.28,159.42,874589.28,546172.92,328416.36
Europe,Croatia,Meat,Online,L,2017-09-26,919840037,2017-11-04,9963,421.89,364.69,4203290.07,3633406.47,569883.6
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,C,2016-03-01,848010480,2016-03-04,4001,81.73,56.67,327001.73,226736.67,100265.06
Australia and Oceania,Federated States of Micronesia,Snacks,Offline,M,2021-03-30,235612380,2021-04-18,1794,152.58,97.44,273728.52,174807.36,98921.16
Asia,Bhutan,Household,Offline,C,2017-01-01,865507066,2017-01-13,1629,668.27,502.54,1088611.83,818637.66,269974.17
Sub-Saharan Africa,Kenya,Household,Online,M,2015-09-16,990868365,2015-09-16,8823,668.27,502.54,5896146.21,4433910.42,1462235.79
Middle East and North Africa,Egypt,Baby Food,Online,H,2020-06-07,285182607,2020-06-18,726,255.28,159.42,185333.28,115738.92,69594.36
Europe,San Marino,Cereal,Online,L,2019-09-20,292248618,2019-10-04,1715,205.7,117.11,352775.5,200843.65,151931.85
Sub-Saharan Africa,Swaziland,Beverages,Online,H,2014-04-19,376177728,2014-05-29,8204,47.45,31.79,389279.8,260805.16,128474.64
Australia and Oceania,Solomon Islands,Clothes,Online,C,2022-06-15,871393764,2022-06-21,3634,109.28,35.84,397123.52,130242.56,266880.96
Middle East and North Africa,Morocco,Personal Care,Online,L,2021-03-12,832633054,2021-04-28,3478,81.73,56.67,284256.94,197098.26,87158.68
Europe,Norway,Vegetables,Online,L,2015-10-09,284944427,2015-11-11,243,154.06,90.93,37436.58,22095.99,15340.59
Europe,Netherlands,Beverages,Online,H,2023-08-17,673689210,2023-10-04,8463,47.45,31.79,401569.35,269038.77,132530.58
Europe,Czech Republic,Cereal,Offline,H,2015-08-02,814541232,2015-08-16,9706,205.7,117.11,1996524.2,1136669.66,859854.54
Asia,Thailand,Meat,Offline,H,2017-06-13,943486821,2017-07-01,7572,421.89,364.69,3194551.08,2761432.68,433118.4
Europe,Albania,Baby Food,Offline,M,2019-02-04,466824805,2019-03-08,2689,255.28,159.42,686447.92,428680.38,257767.54
Asia,Malaysia,Snacks,Online,C,2022-08-06,211166512,2022-09-21,7718,152.58,97.44,1177612.44,752041.92,425570.52
Middle East and North Africa,Pakistan,Snacks,Online,M,2015-06-27,173435771,2015-07-29,2354,152.58,97.44,359173.32,229373.76,129799.56
Europe,Cyprus,Cereal,Online,H,2018-11-20,870868909,2018-12-22,8318,205.7,117.11,1711012.6,974120.98,736891.62
Europe,France,Cereal,Offline,H,2017-12-29,191014754,2018-01-19,4365,205.7,117.11,897880.5,511185.15,386695.35
Middle East and North Africa,Iraq,Baby Food,Online,L,2020-11-24,141734635,2021-01-03,1283,255.28,159.42,327524.24,204535.86,122988.38
Asia,Maldives,Cosmetics,Online,M,2021-02-25,101202380,2021-03-14,6888,437.2,263.33,3011433.6,1813817.04,1197616.56
Middle East and North Africa,Kuwait,Office Supplies,Online,M,2024-07-02,867904317,2024-08-18,1029,651.21,524.96,670095.09,540183.84,129911.25
Asia,Mongolia,Beverages,Online,C,2022-02-28,610639274,2022-03-05,586,47.45,31.79,27805.7,18628.94,9176.76
Middle East and North Africa,Iran,Personal Care,Offline,C,2017-07-15,718518579,2017-08-23,4469,81.73,56.67,365251.37,253258.23,111993.14
Europe,Belarus,Vegetables,Offline,M,2020-11-21,850966060,2020-12-20,8622,154.06,90.93,1328305.32,783998.46,544306.86
Middle East and North Africa,Bahrain,Clothes,Offline,C,2022-08-08,287718045,2022-08-27,1018,109.28,35.84,111247.04,36485.12,74761.92
Sub-Saharan Africa,Swaziland,Clothes,Offline,L,2019-11-23,178823363,2020-01-07,6662,109.28,35.84,728023.36,238766.08,489257.28
Europe,Portugal,Snacks,Online,H,2022-03-13,394643342,2022-03-13,2590,152.58,97.44,395182.2,252369.6,142812.6
Europe,Armenia,Personal Care,Online,M,2024-05-23,875851809,2024-06-15,2869,81.73,56.67,234483.37,162586.23,71897.14
Central America and the Caribbean,Jamaica,Vegetables,Online,L,2022-11-16,283435094,2022-11-25,3598,154.06,90.93,554307.88,327166.14,227141.74
Middle East and North Africa,Azerbaijan,Clothes,Online,H,2020-11-21,948692023,2021-01-07,7907,109.28,35.84,864076.96,283386.88,580690.08
Europe,Norway,Snacks,Offline,H,2023-03-08,323233926,2023-04-10,956,152.58,97.44,145866.48,93152.64,52713.84
Europe,Netherlands,Cereal,Offline,M,2019-12-17,428984630,2019-12-25,4940,205.7,117.11,1016158.0,578523.4,437634.6
Australia and Oceania,Tuvalu,Office Supplies,Online,C,2024-04-28,208180463,2024-05-22,4080,651.21,524.96,2656936.8,2141836.8,515100.0
Europe,Croatia,Cereal,Online,C,2024-02-23,473370254,2024-03-12,9632,205.7,117.11,1981302.4,1128003.52,853298.88
North America,Mexico,Beverages,Offline,H,2019-06-29,757415330,2019-08-12,4882,47.45,31.79,231650.9,155198.78,76452.12
Middle East and North Africa,Jordan,Cereal,Online,M,2017-04-13,663489520,2017-05-26,148,205.7,117.11,30443.6,17332.28,13111.32
Sub-Saharan Africa,Angola,Cosmetics,Offline,L,2015-03-31,315079152,2015-04-20,7778,437.2,263.33,3400541.6,2048180.74,1352360.86
Sub-Saharan Africa,Gabon,Cereal,Offline,M,2017-12-17,805983054,2018-01-03,7151,205.7,117.11,1470960.7,837453.61,633507.09
Middle East and North Africa,Afghanistan,Vegetables,Offline,C,2020-10-25,150312554,2020-12-05,9680,154.06,90.93,1491300.8,880202.4,611098.4
Australia and Oceania,East Timor,Snacks,Offline,L,2015-05-12,932491481,2015-06-15,3806,152.58,97.44,580719.48,370856.64,209862.84
Asia,North Korea,Clothes,Offline,L,2016-01-12,857256162,2016-01-18,3,109.28,35.84,327.84,107.52,220.32
Sub-Saharan Africa,Sudan,Snacks,Online,H,2022-09-22,399655425,2022-09-24,5776,152.58,97.44,881302.08,562813.44,318488.64
Sub-Saharan Africa,Botswana,Fruits,Online,C,2015-06-18,555050599,2015-07-19,662,9.33,6.92,6176.46,4581.04,1595.42
Asia,South Korea,Office Supplies,Offline,C,2023-11-20,589115512,2023-12-30,1226,651.21,524.96,798383.46,643600.96,154782.5
Central America and the Caribbean,Barbados,Meat,Offline,M,2014-12-23,287836492,2015-02-02,6069,421.89,364.69,2560450.41,2213303.61,347146.8
Asia,Taiwan,Household,Online,H,2016-01-17,407512366,2016-02-17,820,668.27,502.54,547981.4,412082.8,135898.6
Europe,United Kingdom,Beverages,Offline,L,2023-10-23,424754464,2023-11-15,3140,47.45,31.79,148993.0,99820.6,49172.4
Australia and Oceania,Tonga,Fruits,Online,H,2020-06-18,786486613,2020-07-06,7721,9.33,6.92,72036.93,53429.32,18607.61
Central America and the Caribbean,Grenada,Personal Care,Offline,M,2021-10-13,659945142,2021-11-12,1288,81.73,56.67,105268.24,72990.96,32277.28
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,H,2018-04-22,182678878,2018-05-02,7594,109.28,35.84,829872.32,272168.96,557703.36
Asia,Philippines,Meat,Offline,M,2023-06-22,912549149,2023-07-17,2427,421.89,364.69,1023927.03,885102.63,138824.4
Asia,Thailand,Office Supplies,Offline,L,2014-10-16,877729785,2014-11-12,8603,651.21,524.96,5602359.63,4516230.88,1086128.75
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,H,2014-01-19,426707112,2014-02-21,972,437.2,263.33,424958.4,255956.76,169001.64
Europe,Slovenia,Vegetables,Online,H,2017-10-24,878279960,2017-12-13,1412,154.06,90.93,217532.72,128393.16,89139.56
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,M,2024-02-21,471559655,2024-04-05,3836,437.2,263.33,1677099.2,1010133.88,666965.32
Sub-Saharan Africa,South Sudan,Fruits,Offline,H,2016-07-22,215970027,2016-08-14,9185,9.33,6.92,85696.05,63560.2,22135.85
Sub-Saharan Africa,Sudan,Personal Care,Online,H,2022-11-13,741247403,2022-11-20,434,81.73,56.67,35470.82,24594.78,10876.04
Europe,Norway,Personal Care,Online,L,2024-04-04,947440612,2024-04-08,7586,81.73,56.67,620003.78,429898.62,190105.16
Asia,Maldives,Vegetables,Online,M,2014-02-12,254910981,2014-03-22,2679,154.06,90.93,412726.74,243601.47,169125.27
Central America and the Caribbean,Saint Lucia,Snacks,Online,H,2014-01-23,854332339,2014-02-07,4779,152.58,97.44,729179.82,465665.76,263514.06
Australia and Oceania,Marshall Islands,Baby Food,Online,C,2015-02-21,956691014,2015-03-03,4986,255.28,159.42,1272826.08,794868.12,477957.96
Asia,Uzbekistan,Snacks,Online,H,2015-04-02,643285834,2015-05-08,1428,152.58,97.44,217884.24,139144.32,78739.92
Europe,Armenia,Baby Food,Online,M,2024-06-24,515728127,2024-07-08,4268,255.28,159.42,1089535.04,680404.56,409130.48
Sub-Saharan Africa,Rwanda,Office Supplies,Online,H,2017-01-01,345941722,2017-01-11,698,651.21,524.96,454544.58,366422.08,88122.5
Middle East and North Africa,Algeria,Personal Care,Offline,M,2021-12-15,426162946,2021-12-15,9941,81.73,56.67,812477.93,563356.47,249121.46
Australia and Oceania,Federated States of Micronesia,Cosmetics,Offline,H,2021-11-13,218940627,2022-01-01,8252,437.2,263.33,3607774.4,2172999.16,1434775.24
Sub-Saharan Africa,Sao Tome and Principe,Meat,Online,L,2022-02-23,607136094,2022-03-27,3917,421.89,364.69,1652543.13,1428490.73,224052.4
Sub-Saharan Africa,South Africa,Fruits,Online,M,2024-05-16,743923175,2024-06-03,2254,9.33,6.92,21029.82,15597.68,5432.14
Australia and Oceania,Australia,Personal Care,Online,M,2020-12-02,302788197,2021-01-06,611,81.73,56.67,49937.03,34625.37,15311.66
Europe,Belarus,Snacks,Offline,H,2021-09-20,827529990,2021-09-21,3369,152.58,97.44,514042.02,328275.36,185766.66
Middle East and North Africa,Iran,Cereal,Offline,H,2016-10-23,782259881,2016-12-11,6937,205.7,117.11,1426940.9,812392.07,614548.83
Asia,Vietnam,Personal Care,Offline,H,2024-06-23,501401698,2024-08-07,4760,81.73,56.67,389034.8,269749.2,119285.6
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,M,2021-09-22,839691770,2021-10-14,2309,9.33,6.92,21542.97,15978.28,5564.69
Central America and the Caribbean,Dominica,Cereal,Offline,L,2024-07-01,922178924,2024-07-04,2091,205.7,117.11,430118.7,244877.01,185241.69
Sub-Saharan Africa,Botswana,Beverages,Online,C,2018-02-27,394224488,2018-03-20,8641,47.45,31.79,410015.45,274697.39,135318.06
Asia,North Korea,Personal Care,Offline,H,2016-04-24,771502292,2016-06-11,3527,81.73,56.67,288261.71,199875.09,88386.62
Sub-Saharan Africa,Ghana,Clothes,Offline,C,2023-05-15,489998662,2023-06-04,348,109.28,35.84,38029.44,12472.32,25557.12
Middle East and North Africa,Pakistan,Cosmetics,Online,L,2018-07-04,756012427,2018-07-14,9732,437.2,263.33,4254830.4,2562727.56,1692102.84
